doc_id,source_name,source_type,language
14751-373A61154-S,ba_jobsuche_api_2025,job_ad,de
14751-373A62341-S,ba_jobsuche_api_2025,job_ad,de
14751-373A57971-S,ba_jobsuche_api_2025,job_ad,de
12288-4660333643-S,ba_jobsuche_api_2025,job_ad,de
14751-373A58176-S,ba_jobsuche_api_2025,job_ad,de
3891071900,kaggle_linkedin_2023_2024_big,job_ad,en
3901903592,kaggle_linkedin_2023_2024_big,job_ad,en
3901998039,kaggle_linkedin_2023_2024_big,job_ad,en
3902860703,kaggle_linkedin_2023_2024_big,job_ad,en
3903472063,kaggle_linkedin_2023_2024_big,job_ad,en
3906225987,kaggle_linkedin_2023_2024_big,job_ad,en
3903878153,kaggle_linkedin_2023_2024_big,job_ad,en
3905694839,kaggle_linkedin_2023_2024_big,job_ad,en
3894284559,kaggle_linkedin_2023_2024_big,job_ad,en
3901691370,kaggle_linkedin_2023_2024_big,job_ad,en
resume_struct_15364,kaggle_resume_structured,cv,en
resume_struct_47135,kaggle_resume_structured,cv,en
resume_struct_31072,kaggle_resume_structured,cv,en
resume_struct_42378,kaggle_resume_structured,cv,en
resume_struct_4696,kaggle_resume_structured,cv,en
