de,en
3-D-Artist,3D artist
3-D-Designer/in,3D designer
3-D-Druck-Spezialist/in,3D printing specialist
Abbrucharbeiter/in,Demolition worker
Abdichter/in (Dachdeckerei),Sealer (roofing)
Abdichtungspolier/in (Bauwerks- und Asphaltabdichtung),Sealing polisher (building and asphalt sealing)
Abfallbeauftragte/r,Waste representative
Abfallberater/in,Waste consultant
Abfallbeseitiger/in,Waste disposer
Abfalltechniker/in,Waste technician
"Abfalltechniker/in in Schulung, Einweisung, Fortbildung","Waste technician in training, instruction, advanced training"
Abfallwirtschaftsberater/in,Waste management consultant
Abfallwirtschaftsingenieur/in,Waste management engineer
Abfller/in,waste filler
Abfllmaschinenbediener/in,Waste machine operator
Abgeordnete/r,MP
Abgleicher/in (Nachrichtentechnik),Comparator (communications technology)
Abiturientenberater/in,Graduate advisor
Abkantpresser/in,Press braker
Ablauforganisator/in,Process organizer
"Ableser/in (Gas, Strom, Wasser)","Meter reader (gas, electricity, water)"
Abnahmefahrer/in,Acceptance driver
Abnahmelokomotivfhrer/in,Acceptance locomotive driver
Abpacker/in,Packer
Abpackmaschinenbediener/in,Packaging machine operator
Abraumbaggerfhrer/in,Overburden excavator operator
Absatz- und Werbewirtschaftler/in,Sales and advertising economist
Absatzplaner/in,Sales planner
Abschleifer/in (Metallschleifen),Grinder (metal grinding)
Abschnittsleiter/in (Sozialversicherung),Head of section (social insurance)
Absetzapparatefhrer/in,Weaning apparatus operator
Absprenger/in (Naturstein),Sprinkler (natural stone)
Abspler/in,Absler/in
ABS-Spezialist/in (Fondsmanager/in),ABS specialist (fund manager)
Abt/btissin,Abbot/Abbess
Abteilungskellner/in,Department waiter
Abteilungsleiter/in - Gewerbeaufsicht,Head of Department - Trade Inspection
Abteilungsleiter/in - Statistik,Head of Department - Statistics
Abteilungsleiter/in (Bauzeichenbro),Head of department (construction drawing office)
Abteilungsleiter/in (Brennerei),Department manager (distillery)
Abteilungsleiter/in (Fleisch - Wurst - Fleischwirtschaft),Head of department (meat - sausage - meat industry)
Abteilungsleiter/in (Httentechnik),Head of Department (Httentechnik)
Abteilungsleiter/in (Keramische Industrie),Head of Department (Ceramic Industry)
Abteilungsleiter/in (Korrosionsschutztechnik),Head of department (corrosion protection technology)
Abteilungsleiter/in (Kunststoff- u. Kautschuktechnik),Head of department (plastics and rubber technology)
Abteilungsleiter/in (Kunststoff),Head of Department (Plastics)
Abteilungsleiter/in (Lackiererei/Oberflchenbehandlung),Head of department (paint shop/surface treatment)
Abteilungsleiter/in (Maschinenbau),Head of Department (Mechanical Engineering)
Abteilungsleiter/in (Metall- u. Schiffbautechnik),Head of department (metal and shipbuilding technology)
Abteilungsleiter/in (Metallographie),Head of Department (Metallography)
Abteilungsleiter/in (Milchwirtschaft),Head of department (dairy industry)
Abteilungsleiter/in (Musikschule),Head of department (music school)
Abteilungsleiter/in (Versicherung),Head of Department (Insurance)
Abteilungsleiter/in (Wach- u. Sicherheitsgewerbe),Head of Department (Security and Security Industry)
Abteilungsleiter-Assistent/in,Department Head Assistant
Abteilungsmeister/in (Schuhindustrie),Department foreman (shoe industry)
Abteilungsprsident/in,Department President
Abteilungssteiger/in,Department climber
Abwasseranlagenwrter/in,Wastewater plant attendant
Abwasserberater/in,Wastewater consultant
Abwasserkontrolleur/in,Wastewater inspector
Abwassermeister/in,Wastewater supervisor
Abwassertechniker/in,Wastewater technician
"Abwassertechniker/in in Schulung, Einweisung, Fortbildung","Wastewater technician in training, instruction, advanced training"
Abwieger/in (Versandfertigmacher/in),Weigher (preparer for dispatch)
Account Manager/in IT,Account Manager IT
Accounting Clerk,Accounting Clerk
Accounting Manager/in,Accounting Manager
Account-Manager/in,Account Manager
Achatpolierer/in,Agate polisher
Achatschleifer/in,Agate cutter
Achsendreher/in,Axis turner
Achslagerprfer/in (Bahn),Axle bearing inspector (railway)
Ackerarbeiter/in,Agricultural worker
Ackerbauer/-buerin,Agricultural farmer
Ackergehilf(e/in),Agricultural assistant
Action-Darsteller/in,Action actor
Ad Sales Manager/in,Ad Sales Manager
ADAS/AD Engineer,ADAS/AD Engineer
Adremadrucker/in,Address printer
Adressendrucker/in,Address printer
Aerobic-Gymnastik-bungsleiter/in,Aerobic gymnastics instructor
Aerobic-Lehrer/in,Aerobics teacher
Aerobic-Trainer/in,Aerobics trainer
Aerologe/Aerologin,Aerologist/aerologist
Affiliate-Manager/in,Affiliate Manager
Afrikanist/in,Africanist
Agenturleiter/in - Versicherung,Agency Manager - Insurance
Aggregatebauer/in (Elektromaschinen),Aggregate builder (electrical machines)
Agiler Coach / Scrum Master,Agile Coach / Scrum Master
Agrarbetriebswirt/in,Agricultural business economist
Agrarbiolog(e/in) (chemisch-pharmazeutischen Industrie),Agricultural biologist (chemical-pharmaceutical industry)
Agrarbiolog(e/in) (Lebensmittelindustrie/Agrarbiologin),Agricultural biologist (food industry/agricultural biologist)
Agrarbiolog(e/in) (Natur- u. Landschaftsschutz),Agricultural biologist (nature and landscape protection)
Agrarbiologe/-biologin,Agricultural biologist
Agrarbiologe/-biologin (Uni),Agricultural biologist (university)
Agrarfachwirt/in - Rechnungswesen,Agricultural specialist - accounting
Agrarinformatiker/in,Agricultural information scientist
Agrarinformatiktechniker/in,Agricultural information technology technician
Agraringenieur/in,Agricultural engineer
Agraringenieur/in - Pflanzenproduktion,Agricultural engineer - crop production
Agraringenieur/in - Wirtschaftswissenschaften,Agricultural engineer - economics
Agraringenieur/in (FS) - Landwirt. Pflanzenprodukt.,Agricultural engineer (FS) - farmer. plant product.
Agraringenieur/in (FS) - Landwirt. Tierproduktion,Agricultural engineer (FS) - farmer. Animal production
Agraringenieur/in (FS) - Landwirt. Versuchsw.(Pflanzenprod.),Agricultural engineer (FS) - farmer. Experimental (plant production)
Agraringenieur/in (FS) - Landwirt. Versuchswesen (Tierpr.),Agricultural engineer (FS) - farmer. Experimentation (animal testing)
Agraringenieur/in (FS) - Saat- und Pflanzenprodukte,Agricultural engineer (FS) - seeds and plant products
Agraringenieur/in (FS) - Techn. d. industriem.Tierproduktion,Agricultural Engineer (FS) - Techn. d. industrial animal production
Agraringenieur/in (FS) - Techn.d.industr. Pflanzenproduktion,Agricultural Engineer (FS) - Techn.d.industr. Crop production
Agrarlaborant/in,Agricultural laboratory technician
Agrarkologe/-kologin,Agroecologist
Agrarkonom/in,Agricultural economist
Agrarservice-Fachkraft,Agricultural service specialist
Agrarservicemeister/in,Agricultural service master
Agrart.Ass.(staatl.gepr.)-Agrarw.Milchw.u.Lebensmittel.,Agrart.Ass.(state-approved)-Agrarw.Milchw.u.Food.
Agrartechniker/in - Landbau,Agricultural technician - agriculture
Agrartechnische/r Ass. (staatl.gepr.) - Fleischwirtschaft,Agricultural technical assistant (state-certified) - meat industry
Agrartechnische/r Assistent/in,Agricultural technical assistant
Agrarwirt/in - Baumpflege und Baumsanierung,Agricultural economist - tree care and tree restoration
Agrarwirt/in - Besamungswesen,Agricultural economist - insemination
Agrarwirt/in - Klauenpflege,Agricultural economist - hoof care
Agrarwirtschafter/in,Agricultural economist
Agrarwirtschaftler/in,Agricultural economist
Agrarwirtschaftlich-technische/r Assistent/in,Agricultural-technical assistant
Agrarwirtschaftsingenieur/in,Agricultural engineer
Agrarwissenschaftler/in / Agrarkonom/in,Agricultural scientist / agricultural economist
Agrikulturchemiker/in,Agricultural chemist
Agrochemiker/in,Agrochemist
Agrotechniker/in/Mechanisator/in,Agrotechnician/Mechanizer
gyptologe/gyptologin,Egyptologist
Aids-Berater/in,AIDS counselor
Air Hostess,Air hostess
Akademiedirektor/in,Academy Director
Akademieleiter/in,Academy director
Akademische/r Arbeitsberater/in,Academic employment advisor
Akademische/r Direktor/in (Hochschule),Academic Director (University)
Akkordeonbauer/in,Accordion maker
Akkordeonbauer/in - Restaurator/in,Accordion builder - restorer
Akkordeonfacharbeiter/in,Accordion specialist
Akkordeonlehrer/in,Accordion teacher
Akkreditivsachbearbeiter/in,Letter of credit clerk
Akkumonteur/in,Battery fitter
Akkumulatorenbauer/in,Accumulator builder
Akquisiteur/in (Kreditgeschft),Acquisitor (credit business)
Akrobat/in,Acrobat
Aktenverwalter/in,Records manager
Aktienanalyst/in,Stock analyst
Aktienfondsmanager/in,Equity fund manager
Aktienhndler/in,Stock trader
Aktuar/in,Actuary
Akupunkteur/in,Acupuncturist
Akustiker/in,Acoustician
Akustiker/in (Hrgerte),Acoustician (hearing aids)
Akustikmeister/in,Acoustic master
Akustikmonteur/in,Acoustic fitter
Akustikphysiker/in,Acoustic physicist
Akustikschreiner/in,Acoustic carpenter
Akzidenzsetzer/in,Commercial compositor
Akzidenzstereotypeur/in,Commercial stereotypist
Alarmanlagenmonteur/in,Alarm system fitter
Alarmanlagentechniker/in,Alarm system technician
Albanologe/Albanologin,Albanologist/Albanologist
Albenportefeuiller/in,Album portfolio maker
Albummacher/in,Album maker
Algesiologe/Algesiologin,Algesiologist/Algesiologist
Alleinkoch/-kchin,Solo cook/cook
Alleinmaschinist/in - Schiff (mit Einschr.),Solo engineer - ship (with restrictions)
Alleinoffizier/in (auf Schiff),Sole officer (on ship)
Alleinsteuermann/-frau,Single helmsman/woman
Alleinunterhalter/in,Solo entertainer
Allergie-Ernhrungsberater/in,Allergy nutritionist
Allfinanzberater/in,All-finance advisor
Allgemeinarzt/-rztin,General practitioner
Allgemeinchirurg/in,General surgeon
Alltagsbetreuer/in,Everyday carer
Almbauer/-buerin,Alpine farmer
Altbauerneuerungstechniker/in,Old building renovation technician
Altbausanierer/in,Old building renovator
Altbierbrauer/in,Altbier brewer
Altenbetreuer/in,Elderly carer
Altenbetreuerhelfer/in,Elderly care assistant
Altenheimleiter/in,Nursing home manager
Altenpflegeassistent/in,Geriatric nursing assistant
Altenpflegefachwirt/in,Geriatric nursing specialist
Altenpflegehelfer/in,Geriatric care assistant
Altenpflegehelfer/in - ambulanten Altenhilfe,Geriatric care assistant - outpatient care for the elderly
Altenpflegehilfskraft,Geriatric nursing assistant
Altenpfleger/in,Geriatric nurse
Altenpfleger/in - gerontopsychiatrischen Abteilung,Geriatric nurse - geriatric psychiatric department
Altenpfleger/in - Onkologie,Geriatric nurse - oncology
Altenpfleger/in - Rehabilitation,Geriatric nurse - rehabilitation
Altenpflegeschulleiter/in,Head of geriatric nursing school
Altentagesstttenleiter/in,Senior day care center manager
Altentherapeut/in,Geriatric therapist
Altenzentrumsleiter/in,Senior center manager
Alterswissenschaftler/in,Age scientist
Altertumsforscher/in,Antiquity researcher
Altertumskundler/in,Antiquarian
Altertumswissenschaftler/in,Classical scholar
Altpapierzerfaserer/-zerfaserin,Waste paper pulper
Altphilologe/-philologin,Classical philologist
Aluminiumdrucker/in,Aluminum printer
Aluminiumfolienmacher/in,Aluminum foil maker
Aluminiumformer/in,Aluminum former
Aluminiumgieáer/in,Aluminum caster
Aluminiumschlger/in,Aluminum bat
Aluminiumschlgermeister/in,Aluminum bat master
Aluminiumspritzer/in,Aluminum sprayer
Amateurreitlehrer/in,Amateur riding instructor
Ambossschmied/in,Anvilsmith
Ambulante/r Krankenschwester/-pfleger,Outpatient nurse
Ambulante/r Pfleger/in,Outpatient nurse
Ambulanzfahrer/in,Ambulance driver
Ambulanzschwester/-pfleger,Ambulance nurse
Amerikaformer/in,America shaper
Amerikanist/in,Americanist
Amethystschleifer/in,Amethyst cutter
Amtliche/r Fachassistent/in (Fleischkontrolleur/in),Official specialist assistant (meat inspector)
Amtliche/r Kontrollassistent/in (Lebensmittelberwachung),Official control assistant (food monitoring)
Amtsanwalt/-anwltin,Public prosecutor
Amtsbote/-botin,Official messenger
Amtsnotar/in,Official notary
Amtsrichter/in,Magistrate
Analyst/in (Finanzen),Analyst (Finance)
Analytiker/in - Chemie,Analyst - Chemistry
Analytische/r Kinder- u. Jugendlichenpsychotherapeut/in,Analytical child and adolescent psychotherapist
Anaplastologe/Anaplastologin,Anaplastologist/anaplastologist
Ansthesieschwester/-pfleger,Anesthesia nurse/nurse
Ansthesietechnische/r Assistent/in,Anesthesia technical assistant
Ansthesist/in,Anesthetist
Anatom/in,Anatomist
Anatomische/r Assistent/in,Anatomical assistant
nderungsnher/in,Closer to change
nderungsschneider/in,Alteration tailor
nderungs-Werkstattleiter/in (Bekleidung),Change workshop manager (clothing)
Andreher/in (Webvorbereitung),Supervisor (web preparation)
Anfnger/in (Bhne/Film/Fernsehen),Beginner (stage/film/television)
Angebotskalkulator/in,Offer calculator
Angebotssachbearbeiter/in (Kalkulator/in),Offer clerk (calculator)
Angehrige/r geistlicher Orden u. Mutterhuser,Members of religious orders and motherhouses
Angelgertebauer/in,Fishing tackle builder
Angestellte/r - Bundesanstalt fr Arbeit,Employee - Federal Employment Agency
Anglist/in / Amerikanist/in,English/American Studies
Anhngerbauer/in (Fahrzeugbau),Trailer builder (vehicle construction)
Anilindrucker/in,Aniline printer
Animateur/in - Freizeit,Entertainer - Leisure
Animateur/in - Hotel- und Kurbetrieb,Entertainer - hotel and spa operation
Animationsknstler/in,Animation artist
Animationszeichner/in,Animator
Ankerschlieáer/in,Anchor closer
Ankerwickler/in (Elektromaschinenbau),Armature winder (electrical mechanical engineering)
Ankleider/in / Garderobier/e,Dresser/cloakroom attendant
Anknpfer/in,anchor
Anlageberater/in,Investment advisor
Anlagen- und Apparatebauer/in,Plant and apparatus engineer
Anlagenbauer/in,Plant engineer
Anlagenbautechniker/in,Plant construction technician
Anlagenbuchhalter/in,Asset accountant
Anlagenelektriker/in (Elektroanlageninstallation),Plant electrician (electrical system installation)
Anlagenelektroniker/in,Plant electronics technician
Anlagenfahrer/in - Chemiebetrieb,Plant operator - chemical plant
Anlagenfhrer/in - Ganzstoffherstellung,Plant operator - raw materials production
Anlagenfhrer/in - Nahrungsmittelindustrie,Plant operator - food industry
Anlagenfhrer/in - lraffinerie,Plant operator - oil refinery
Anlagengrtner/in,Plant gardener
Anlageningenieur/in (Elektro),Plant engineer (electrical)
Anlageninstallateur/in (Telekommunikationstechnik),System installer (telecommunications technology)
Anlagenkonstrukteur/in,Plant designer
Anlagenmechaniker/in,Plant mechanic
Anlagenmechaniker/in - Apparatetechnik,Plant mechanic - apparatus technology
"Anlagenmechaniker/in - Sanitr-, Heizungs- und Klimatechnik","Plant mechanic - plumbing, heating and air conditioning technology"
Anlagenmechaniker/in - Schweiátechnik,Plant mechanic - welding technology
Anlagenmechaniker/in - Versorgungstechnik,Plant mechanic - supply technology
Anlagenmonteur/in,Plant fitter
Anlagenmonteur/in (Telekommunikationstechnik),Plant fitter (telecommunications technology)
Anlagenplaner/in,Plant planner
Anlagenreiniger/in,Plant cleaner
Anlagenschweiáer/in,Plant welder
Anlagentechniker/in,Plant technician
Anlagentechnikkonstrukteur/in,Plant technology designer
"Anlagenwrter/in (Erdl-, Erdgasgewinnung)",Plant attendant (oil and natural gas production)
