kldb_title_de,kldb_title_en_proxy,kldb_5_code
3-D-Artist,3D artist,23224
3-D-Designer/in,3D designer,23223
3-D-Druck-Spezialist/in,3D printing specialist,27103
Abbrucharbeiter/in,Demolition worker,32101
Abdichter/in (Dachdeckerei),Sealer (roofing),33232
Abdichtungspolier/in (Bauwerks- und Asphaltabdichtung),Sealing polisher (building and asphalt sealing),33393
Abfallbeauftragte/r,Waste representative,42324
Abfallberater/in,Waste consultant,42313
Abfallbeseitiger/in,Waste disposer,34301
Abfalltechniker/in,Waste technician,34333
"Abfalltechniker/in in Schulung, Einweisung, Fortbildung","Waste technician in training, instruction, advanced training",84483
Abfallwirtschaftsberater/in,Waste management consultant,34333
Abfallwirtschaftsingenieur/in,Waste management engineer,34334
Abfller/in,waste filler,51311
Abfllmaschinenbediener/in,Waste machine operator,51311
Abgeordnete/r,MP,71214
Abgleicher/in (Nachrichtentechnik),Comparator (communications technology),26312
Abiturientenberater/in,Graduate advisor,71524
Abkantpresser/in,Press braker,24212
Ablauforganisator/in,Process organizer,71314
"Ableser/in (Gas, Strom, Wasser)","Meter reader (gas, electricity, water)",25131
Abnahmefahrer/in,Acceptance driver,27312
Abnahmelokomotivfhrer/in,Acceptance locomotive driver,52202
Abpacker/in,Packer,51311
Abpackmaschinenbediener/in,Packaging machine operator,51312
Abraumbaggerfhrer/in,Overburden excavator operator,52522
Absatz- und Werbewirtschaftler/in,Sales and advertising economist,92113
Absatzplaner/in,Sales planner,61124
Abschleifer/in (Metallschleifen),Grinder (metal grinding),24222
Abschnittsleiter/in (Sozialversicherung),Head of section (social insurance),73293
Absetzapparatefhrer/in,Weaning apparatus operator,25122
Absprenger/in (Naturstein),Sprinkler (natural stone),21122
Abspler/in,Absler/in,63301
ABS-Spezialist/in (Fondsmanager/in),ABS specialist (fund manager),72124
Abt/btissin,Abbot/Abbess,83333
Abteilungskellner/in,Department waiter,63303
Abteilungsleiter/in - Gewerbeaufsicht,Head of Department - Trade Inspection,53394
Abteilungsleiter/in - Statistik,Head of Department - Statistics,41194
Abteilungsleiter/in (Bauzeichenbro),Head of department (construction drawing office),27293
Abteilungsleiter/in (Brennerei),Department manager (distillery),29193
Abteilungsleiter/in (Fleisch - Wurst - Fleischwirtschaft),Head of department (meat - sausage - meat industry),29294
Abteilungsleiter/in (Httentechnik),Head of Department (Httentechnik),24193
Abteilungsleiter/in (Keramische Industrie),Head of Department (Ceramic Industry),21493
Abteilungsleiter/in (Korrosionsschutztechnik),Head of department (corrosion protection technology),24393
Abteilungsleiter/in (Kunststoff- u. Kautschuktechnik),Head of department (plastics and rubber technology),22193
Abteilungsleiter/in (Kunststoff),Head of Department (Plastics),22193
Abteilungsleiter/in (Lackiererei/Oberflchenbehandlung),Head of department (paint shop/surface treatment),22293
Abteilungsleiter/in (Maschinenbau),Head of Department (Mechanical Engineering),25194
Abteilungsleiter/in (Metall- u. Schiffbautechnik),Head of department (metal and shipbuilding technology),24493
Abteilungsleiter/in (Metallographie),Head of Department (Metallography),41494
Abteilungsleiter/in (Milchwirtschaft),Head of department (dairy industry),29294
Abteilungsleiter/in (Musikschule),Head of department (music school),84494
Abteilungsleiter/in (Versicherung),Head of Department (Insurance),72194
Abteilungsleiter/in (Wach- u. Sicherheitsgewerbe),Head of Department (Security and Security Industry),53194
Abteilungsleiter-Assistent/in,Department Head Assistant,71403
Abteilungsmeister/in (Schuhindustrie),Department foreman (shoe industry),28393
Abteilungsprsident/in,Department President,73294
Abteilungssteiger/in,Department climber,21113
Abwasseranlagenwrter/in,Wastewater plant attendant,34312
Abwasserberater/in,Wastewater consultant,34313
Abwasserkontrolleur/in,Wastewater inspector,34312
Abwassermeister/in,Wastewater supervisor,34393
Abwassertechniker/in,Wastewater technician,34313
"Abwassertechniker/in in Schulung, Einweisung, Fortbildung","Wastewater technician in training, instruction, advanced training",84483
Abwieger/in (Versandfertigmacher/in),Weigher (preparer for dispatch),51311
Account Manager/in IT,Account Manager IT,43233
Accounting Clerk,Accounting Clerk,72213
Accounting Manager/in,Accounting Manager,72214
Account-Manager/in,Account Manager,92133
Achatpolierer/in,Agate polisher,93522
Achatschleifer/in,Agate cutter,93522
Achsendreher/in,Axis turner,24232
Achslagerprfer/in (Bahn),Axle bearing inspector (railway),51112
Ackerarbeiter/in,Agricultural worker,11101
Ackerbauer/-buerin,Agricultural farmer,11102
Ackergehilf(e/in),Agricultural assistant,11101
Action-Darsteller/in,Action actor,94214
Ad Sales Manager/in,Ad Sales Manager,92382
ADAS/AD Engineer,ADAS/AD Engineer,27184
Adremadrucker/in,Address printer,23412
Adressendrucker/in,Address printer,23412
Aerobic-Gymnastik-bungsleiter/in,Aerobic gymnastics instructor,84553
Aerobic-Lehrer/in,Aerobics teacher,84553
Aerobic-Trainer/in,Aerobics trainer,84553
Aerologe/Aerologin,Aerologist/aerologist,42144
Affiliate-Manager/in,Affiliate Manager,92113
Afrikanist/in,Africanist,91184
Agenturleiter/in - Versicherung,Agency Manager - Insurance,72194
Aggregatebauer/in (Elektromaschinen),Aggregate builder (electrical machines),26222
Agiler Coach / Scrum Master,Agile Coach / Scrum Master,71393
Agrarbetriebswirt/in,Agricultural business economist,11193
Agrarbiolog(e/in) (chemisch-pharmazeutischen Industrie),Agricultural biologist (chemical-pharmaceutical industry),41234
Agrarbiolog(e/in) (Lebensmittelindustrie/Agrarbiologin),Agricultural biologist (food industry/agricultural biologist),41234
Agrarbiolog(e/in) (Natur- u. Landschaftsschutz),Agricultural biologist (nature and landscape protection),41234
Agrarbiologe/-biologin,Agricultural biologist,41234
Agrarbiologe/-biologin (Uni),Agricultural biologist (university),41234
Agrarfachwirt/in - Rechnungswesen,Agricultural specialist - accounting,72213
Agrarinformatiker/in,Agricultural information scientist,11183
Agrarinformatiktechniker/in,Agricultural information technology technician,11183
Agraringenieur/in,Agricultural engineer,11104
Agraringenieur/in - Pflanzenproduktion,Agricultural engineer - crop production,11184
Agraringenieur/in - Wirtschaftswissenschaften,Agricultural engineer - economics,11184
Agraringenieur/in (FS) - Landwirt. Pflanzenprodukt.,Agricultural engineer (FS) - farmer. plant product.,11183
Agraringenieur/in (FS) - Landwirt. Tierproduktion,Agricultural engineer (FS) - farmer. Animal production,11213
Agraringenieur/in (FS) - Landwirt. Versuchsw.(Pflanzenprod.),Agricultural engineer (FS) - farmer. Experimental (plant production),11183
Agraringenieur/in (FS) - Landwirt. Versuchswesen (Tierpr.),Agricultural engineer (FS) - farmer. Experimentation (animal testing),11213
Agraringenieur/in (FS) - Saat- und Pflanzenprodukte,Agricultural engineer (FS) - seeds and plant products,11183
Agraringenieur/in (FS) - Techn. d. industriem.Tierproduktion,Agricultural Engineer (FS) - Techn. d. industrial animal production,11213
Agraringenieur/in (FS) - Techn.d.industr. Pflanzenproduktion,Agricultural Engineer (FS) - Techn.d.industr. Crop production,11183
Agrarlaborant/in,Agricultural laboratory technician,11132
Agrarkologe/-kologin,Agroecologist,11724
Agrarkonom/in,Agricultural economist,11104
Agrarservice-Fachkraft,Agricultural service specialist,11102
Agrarservicemeister/in,Agricultural service master,11193
Agrart.Ass.(staatl.gepr.)-Agrarw.Milchw.u.Lebensmittel.,Agrart.Ass.(state-approved)-Agrarw.Milchw.u.Food.,11132
Agrartechniker/in - Landbau,Agricultural technician - agriculture,11113
Agrartechnische/r Ass. (staatl.gepr.) - Fleischwirtschaft,Agricultural technical assistant (state-certified) - meat industry,11132
Agrartechnische/r Assistent/in,Agricultural technical assistant,11132
Agrarwirt/in - Baumpflege und Baumsanierung,Agricultural economist - tree care and tree restoration,12143
Agrarwirt/in - Besamungswesen,Agricultural economist - insemination,81143
Agrarwirt/in - Klauenpflege,Agricultural economist - hoof care,11213
Agrarwirtschafter/in,Agricultural economist,11193
Agrarwirtschaftler/in,Agricultural economist,11193
Agrarwirtschaftlich-technische/r Assistent/in,Agricultural-technical assistant,11132
Agrarwirtschaftsingenieur/in,Agricultural engineer,11104
Agrarwissenschaftler/in / Agrarkonom/in,Agricultural scientist / agricultural economist,11104
Agrikulturchemiker/in,Agricultural chemist,41384
Agrochemiker/in,Agrochemist,11182
Agrotechniker/in/Mechanisator/in,Agrotechnician/Mechanizer,11102
gyptologe/gyptologin,Egyptologist,91224
Aids-Berater/in,AIDS counselor,83154
Air Hostess,Air hostess,51422
Akademiedirektor/in,Academy Director,84394
Akademieleiter/in,Academy director,84394
Akademische/r Arbeitsberater/in,Academic employment advisor,71523
Akademische/r Direktor/in (Hochschule),Academic Director (University),84304
Akkordeonbauer/in,Accordion maker,93682
Akkordeonbauer/in - Restaurator/in,Accordion builder - restorer,93683
Akkordeonfacharbeiter/in,Accordion specialist,93682
Akkordeonlehrer/in,Accordion teacher,84414
Akkreditivsachbearbeiter/in,Letter of credit clerk,72113
Akkumonteur/in,Battery fitter,26301
Akkumulatorenbauer/in,Accumulator builder,26301
Akquisiteur/in (Kreditgeschft),Acquisitor (credit business),72123
Akrobat/in,Acrobat,94283
Aktenverwalter/in,Records manager,73312
Aktienanalyst/in,Stock analyst,72144
Aktienfondsmanager/in,Equity fund manager,72124
Aktienhndler/in,Stock trader,72123
Aktuar/in,Actuary,41184
Akupunkteur/in,Acupuncturist,81753
Akustiker/in,Acoustician,41484
Akustiker/in (Hrgerte),Acoustician (hearing aids),82532
Akustikmeister/in,Acoustic master,33393
Akustikmonteur/in,Acoustic fitter,33302
Akustikphysiker/in,Acoustic physicist,41484
Akustikschreiner/in,Acoustic carpenter,33332
Akzidenzsetzer/in,Commercial compositor,23212
Akzidenzstereotypeur/in,Commercial stereotypist,23212
Alarmanlagenmonteur/in,Alarm system fitter,26312
Alarmanlagentechniker/in,Alarm system technician,53183
Albanologe/Albanologin,Albanologist/Albanologist,91144
Albenportefeuiller/in,Album portfolio maker,28322
Albummacher/in,Album maker,23422
Algesiologe/Algesiologin,Algesiologist/Algesiologist,81454
Alleinkoch/-kchin,Solo cook/cook,29302
Alleinmaschinist/in - Schiff (mit Einschr.),Solo engineer - ship (with restrictions),51133
Alleinoffizier/in (auf Schiff),Sole officer (on ship),52413
Alleinsteuermann/-frau,Single helmsman/woman,52413
Alleinunterhalter/in,Solo entertainer,94303
Allergie-Ernhrungsberater/in,Allergy nutritionist,82233
Allfinanzberater/in,All-finance advisor,72123
Allgemeinarzt/-rztin,General practitioner,81404
Allgemeinchirurg/in,General surgeon,81434
Alltagsbetreuer/in,Everyday carer,83142
Almbauer/-buerin,Alpine farmer,11182
Altbauerneuerungstechniker/in,Old building renovation technician,31153
Altbausanierer/in,Old building renovator,31152
Altbierbrauer/in,Altbier brewer,29112
Altenbetreuer/in,Elderly carer,82102
Altenbetreuerhelfer/in,Elderly care assistant,82101
Altenheimleiter/in,Nursing home manager,82194
Altenpflegeassistent/in,Geriatric nursing assistant,82101
Altenpflegefachwirt/in,Geriatric nursing specialist,73223
Altenpflegehelfer/in,Geriatric care assistant,82101
Altenpflegehelfer/in - ambulanten Altenhilfe,Geriatric care assistant - outpatient care for the elderly,82101
Altenpflegehilfskraft,Geriatric nursing assistant,82101
Altenpfleger/in,Geriatric nurse,82102
Altenpfleger/in - gerontopsychiatrischen Abteilung,Geriatric nurse - geriatric psychiatric department,82182
Altenpfleger/in - Onkologie,Geriatric nurse - oncology,82183
Altenpfleger/in - Rehabilitation,Geriatric nurse - rehabilitation,82183
Altenpflegeschulleiter/in,Head of geriatric nursing school,84294
Altentagesstttenleiter/in,Senior day care center manager,82194
Altentherapeut/in,Geriatric therapist,81723
