vocab_id,label,source_system,source_id,lang,label_type
ESCO:http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab:pref_en,manage musical staff,ESCO,http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab,en,preferred
ESCO:http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2:pref_en,supervise correctional procedures,ESCO,http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,en,preferred
ESCO:http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828:pref_en,apply anti-oppressive practices,ESCO,http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,en,preferred
ESCO:http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35:pref_en,control compliance of railway vehicles regulations,ESCO,http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,en,preferred
ESCO:http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc:pref_en,identify available services,ESCO,http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,en,preferred
ESCO:http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724:pref_en,perform toxicological studies,ESCO,http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,en,preferred
ESCO:http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316:pref_en,ensure coquille uniformity,ESCO,http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,en,preferred
ESCO:http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02:pref_en,Haskell,ESCO,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,en,preferred
ESCO:http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f:pref_en,show initiative,ESCO,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,en,preferred
ESCO:http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123:pref_en,train staff to reduce food waste,ESCO,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,en,preferred
ESCO:http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d:pref_en,apply diplomatic principles,ESCO,http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,en,preferred
ESCO:http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831:pref_en,lead police investigations,ESCO,http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,en,preferred
ESCO:http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990:pref_en,handle fish harvesting waste,ESCO,http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,en,preferred
ESCO:http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c:pref_en,develop energy saving concepts,ESCO,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,en,preferred
ESCO:http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3:pref_en,perform street interventions in social work,ESCO,http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,en,preferred
ESCO:http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330:pref_en,work with soloists,ESCO,http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,en,preferred
ESCO:http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355:pref_en,sport and exercise medicine,ESCO,http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,en,preferred
ESCO:http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05:pref_en,conduct research on flora,ESCO,http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,en,preferred
ESCO:http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f:pref_en,install heat pump,ESCO,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,en,preferred
ESCO:http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e:pref_en,design biomass installations,ESCO,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,en,preferred
ESCO:http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d:pref_en,handle equipment while suspended,ESCO,http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d,en,preferred
ESCO:http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9:pref_en,teach housekeeping skills,ESCO,http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9,en,preferred
ESCO:http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0:pref_en,check train engines,ESCO,http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0,en,preferred
ESCO:http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb:pref_en,influence public policies,ESCO,http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb,en,preferred
ESCO:http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e:pref_en,enterprise risk management,ESCO,http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e,en,preferred
ESCO:http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613:pref_en,manufacture ingredients,ESCO,http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,en,preferred
ESCO:http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb:pref_en,maintain aquaculture ponds,ESCO,http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb,en,preferred
ESCO:http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597:pref_en,apply credit risk policy,ESCO,http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,en,preferred
ESCO:http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0:pref_en,handle customer requests related to cargo,ESCO,http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0,en,preferred
ESCO:http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f:pref_en,draft scientific or academic papers and technical documentation,ESCO,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,en,preferred
ESCO:http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876:pref_en,incremental development,ESCO,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,en,preferred
ESCO:http://data.europa.eu/esco/skill/00c51318-4ea9-4d37-9cd8-74680583d203:pref_en,use of special equipment for daily activities,ESCO,http://data.europa.eu/esco/skill/00c51318-4ea9-4d37-9cd8-74680583d203,en,preferred
ESCO:http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe:pref_en,sawing techniques,ESCO,http://data.europa.eu/esco/skill/00c85cbc-2b24-4605-a6fe-55b5c615e3fe,en,preferred
ESCO:http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8:pref_en,produce guitar components,ESCO,http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8,en,preferred
ESCO:http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce:pref_en,operate agricultural machinery,ESCO,http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce,en,preferred
ESCO:http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8:pref_en,control pyrotechnics stock,ESCO,http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8,en,preferred
ESCO:http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00:pref_en,guarantee customer satisfaction,ESCO,http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,en,preferred
ESCO:http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982:pref_en,manufacture wearing apparel products,ESCO,http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,en,preferred
ESCO:http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000:pref_en,cure tobacco leaves,ESCO,http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000,en,preferred
ESCO:http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696:pref_en,develop a rehabilitation programme,ESCO,http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,en,preferred
ESCO:http://data.europa.eu/esco/skill/00ec5333-e570-477b-9017-2e95fea0150a:pref_en,maintain inventory of cleaning supplies,ESCO,http://data.europa.eu/esco/skill/00ec5333-e570-477b-9017-2e95fea0150a,en,preferred
ESCO:http://data.europa.eu/esco/skill/00eefa32-9f77-4500-abe9-20afc7924a9d:pref_en,cold vulcanisation,ESCO,http://data.europa.eu/esco/skill/00eefa32-9f77-4500-abe9-20afc7924a9d,en,preferred
ESCO:http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681:pref_en,supervise housekeeping operations,ESCO,http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681,en,preferred
ESCO:http://data.europa.eu/esco/skill/00f2eee1-cd4d-4a45-ae10-b6060f53ad5d:pref_en,act as contact person during equipment incident,ESCO,http://data.europa.eu/esco/skill/00f2eee1-cd4d-4a45-ae10-b6060f53ad5d,en,preferred
ESCO:http://data.europa.eu/esco/skill/00fc7575-0cee-4b12-ade5-795cb2a4479a:pref_en,manage time in landscaping,ESCO,http://data.europa.eu/esco/skill/00fc7575-0cee-4b12-ade5-795cb2a4479a,en,preferred
ESCO:http://data.europa.eu/esco/skill/00ff06cc-103f-4c85-b5df-6f75acff6abf:pref_en,advise on customs regulations,ESCO,http://data.europa.eu/esco/skill/00ff06cc-103f-4c85-b5df-6f75acff6abf,en,preferred
ESCO:http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc:pref_en,manage university department,ESCO,http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc,en,preferred
ESCO:http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc:pref_en,develop terminology databases,ESCO,http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,en,preferred
ESCO:http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f:pref_en,repair electric bicycles,ESCO,http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f,en,preferred
ESCO:http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517:pref_en,maintain sorting equipment,ESCO,http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,en,preferred
ESCO:http://data.europa.eu/esco/skill/012f9ad1-b95b-42f1-b2c7-3793cdbce443:pref_en,explain features in accommodation venue,ESCO,http://data.europa.eu/esco/skill/012f9ad1-b95b-42f1-b2c7-3793cdbce443,en,preferred
ESCO:http://data.europa.eu/esco/skill/0132ac4f-ffac-4396-8b56-052fde0c9d73:pref_en,types of barley,ESCO,http://data.europa.eu/esco/skill/0132ac4f-ffac-4396-8b56-052fde0c9d73,en,preferred
ESCO:http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05:pref_en,KDevelop,ESCO,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,en,preferred
ESCO:http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f:pref_en,purchase vehicle parts,ESCO,http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f,en,preferred
ESCO:http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b:pref_en,inspect offshore constructions,ESCO,http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,en,preferred
ESCO:http://data.europa.eu/esco/skill/0156865e-5010-4908-8e0f-ce3aebc2d136:pref_en,adjust envelope cutting settings,ESCO,http://data.europa.eu/esco/skill/0156865e-5010-4908-8e0f-ce3aebc2d136,en,preferred
ESCO:http://data.europa.eu/esco/skill/0157feec-52c2-4764-b83d-2d017ce8e49d:pref_en,prepare oils,ESCO,http://data.europa.eu/esco/skill/0157feec-52c2-4764-b83d-2d017ce8e49d,en,preferred
ESCO:http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5:pref_en,purchase supplies,ESCO,http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5,en,preferred
ESCO:http://data.europa.eu/esco/skill/015cd017-b146-4c9d-ab10-5dfca451c30a:pref_en,pursue excellence in the creation of food products,ESCO,http://data.europa.eu/esco/skill/015cd017-b146-4c9d-ab10-5dfca451c30a,en,preferred
ESCO:http://data.europa.eu/esco/skill/0162b701-6bb4-400a-b557-7996053d7daf:pref_en,maintain personal hygiene standards when cleaning,ESCO,http://data.europa.eu/esco/skill/0162b701-6bb4-400a-b557-7996053d7daf,en,preferred
ESCO:http://data.europa.eu/esco/skill/0165e6c7-14d9-47f6-a882-565f8da14526:pref_en,water skiing,ESCO,http://data.europa.eu/esco/skill/0165e6c7-14d9-47f6-a882-565f8da14526,en,preferred
ESCO:http://data.europa.eu/esco/skill/0167ee96-f478-4383-afe6-aabf387da5b3:pref_en,liaise with typists,ESCO,http://data.europa.eu/esco/skill/0167ee96-f478-4383-afe6-aabf387da5b3,en,preferred
