id,dataset_name,type,format,path,n_rows,source_name,notes
D1,Techsalerator Job Postings,job_ad,parquet,C:\Users\sigle\OneDrive - Hochschule Reutlingen\Dokumente\Profilerweiterung\data\interim_external\techsalerator_job_postings_unified.parquet,9807,kaggle_techsalerator,≈9.8k englische Jobanzeigen; zusätzliche Jobmarkt-Quelle neben LinkedIn.
D2,LinkedIn Job Postings (big),job_ad,parquet,C:\Users\sigle\OneDrive - Hochschule Reutlingen\Dokumente\Profilerweiterung\data\interim_external\postings_big_unified.parquet,123849,kaggle_linkedin_2023_2024_big,≈123.8k Anzeigen; große Basis für robuste Co-Occurrence/Mining-Analysen.
D3,BA Job Ads (Jobsuche API 2025),job_ad,parquet,C:\Users\sigle\OneDrive - Hochschule Reutlingen\Dokumente\Profilerweiterung\data\interim_external\ba_job_ads_unified.parquet,3505,ba_jobsuche_api_2025,≈3.5k deutsche Jobanzeigen; eigene/operative Quelle (BA Jobsuche API).
D4,Resume Dataset (Structured),cv,parquet,C:\Users\sigle\OneDrive - Hochschule Reutlingen\Dokumente\Profilerweiterung\data\interim_external\resume_structured_unified.parquet,54933,kaggle_resume_structured,≈54.9k CVs/Resumes; strukturierter Resume-Datensatz (Skill-Extraktion/Abgleich).
D5,LinkedIn Morocco Profiles,linkedin_profile,parquet,C:\Users\sigle\OneDrive - Hochschule Reutlingen\Dokumente\Profilerweiterung\data\interim_external\linkedin_morocco_unified.parquet,1525,kaggle_linkedin_morocco,≈1.5k Profile; Social/Profil-Quelle für Co-Occurrence/Skills im Profiltext.
D6,Udemy Courses,course,parquet,C:\Users\sigle\OneDrive - Hochschule Reutlingen\Dokumente\Profilerweiterung\data\interim_external\courses_udemy_unified.parquet,98104,kaggle_udemy_courses,"≈98.1k Kurse; Titel sind Kurs-/Lernkontext, nicht immer als Jobtitel interpretierbar."
D7,Workwise Selenium Scrape (Dynamic),job_ad_scrape,parquet,C:\Users\sigle\OneDrive - Hochschule Reutlingen\Dokumente\Profilerweiterung\data\interim_external\scraped_workwise_dynamic_unified.parquet,386,workwise_selenium,≈609 deutsche Anzeigen; eigener Scrape; gut als DE-Gegenpol zu EN-Jobbörsen.
D8,BA Skillbasis (Synonym + Label),standard,parquet,C:\Users\sigle\OneDrive - Hochschule Reutlingen\Dokumente\Profilerweiterung\data\interim_external\ba_total.parquet,49324,BA,≈9.300 Kompetenzen + Synonyme; Grundlage für Terminologie-Normalisierung & Skill-DB.
D9,ESCO Skills,standard,parquet,C:\Users\sigle\OneDrive - Hochschule Reutlingen\Dokumente\Profilerweiterung\data\interim\esco_skills.parquet,13939,ESCO,"Offizielle Skill-Taxonomie laut ESCO Standard (englisch, inkl. AltLabels)."
D10,Occupation-Skill-Relations,standard,parquet,C:\Users\sigle\OneDrive - Hochschule Reutlingen\Dokumente\Profilerweiterung\data\interim\occupation_skill_relations.parquet,129004,ESCO,Verknüpfung Beruf - Skill (essential/optional) als Basis für Soll-Profile.
D11,KldB-ESCO Mapping,standard,parquet,C:\Users\sigle\OneDrive - Hochschule Reutlingen\Dokumente\Profilerweiterung\data\interim\kldb_esco_mapping.parquet,18391,BA/ISCO→ESCO,Offizieller Umstiegsschlüssel zur Überführung von KldB auf ESCO (über ISCO für Baseline/SOLL)..
D12,KldB-SOLL-LONG,standard,parquet,C:\Users\sigle\OneDrive - Hochschule Reutlingen\Dokumente\Profilerweiterung\data\processed\kldb_skills_soll_long.parquet,809412,Derived,Alle Skills pro KldB-Code in Long-Form; Grundlage Profilerweiterung.
D13,KldB-SOLL-AGG,standard,parquet,C:\Users\sigle\OneDrive - Hochschule Reutlingen\Dokumente\Profilerweiterung\data\processed\kldb_skills_soll_agg.parquet,1300,Derived,Aggregierte Skill-Liste pro KldB-Code (kompakt).
